danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.591,0.583,10,-5.414,0,0.0542,0.638,0.0,0.177,0.375,166.03,audio_features,05YyMLG9IWrGrzBIa2doYu,spotify:track:05YyMLG9IWrGrzBIa2doYu,https://api.spotify.com/v1/tracks/05YyMLG9IWrGrzBIa2doYu,https://api.spotify.com/v1/audio-analysis/05YyMLG9IWrGrzBIa2doYu,211425,4
0.749,0.464,8,-9.614,1,0.0667,0.46,0.0,0.0853,0.336,118.982,audio_features,4YA2t7yrQAsijAIWesyNLC,spotify:track:4YA2t7yrQAsijAIWesyNLC,https://api.spotify.com/v1/tracks/4YA2t7yrQAsijAIWesyNLC,https://api.spotify.com/v1/audio-analysis/4YA2t7yrQAsijAIWesyNLC,182598,4
0.567,0.791,0,-5.018,1,0.123,0.0965,4.57e-06,0.165,0.441,95.071,audio_features,7xGcU76wD4qwewSu9vi13e,spotify:track:7xGcU76wD4qwewSu9vi13e,https://api.spotify.com/v1/tracks/7xGcU76wD4qwewSu9vi13e,https://api.spotify.com/v1/audio-analysis/7xGcU76wD4qwewSu9vi13e,186216,4
0.523,0.606,6,-5.718,0,0.0929,0.255,0.0,0.176,0.277,151.397,audio_features,59JVKVp15WqmH8V3BLtXLM,spotify:track:59JVKVp15WqmH8V3BLtXLM,https://api.spotify.com/v1/tracks/59JVKVp15WqmH8V3BLtXLM,https://api.spotify.com/v1/audio-analysis/59JVKVp15WqmH8V3BLtXLM,193116,4
0.733,0.511,5,-6.086,1,0.0285,0.749,0.0,0.106,0.417,106.026,audio_features,15F7ASF4Q4JjoyxOv6irVP,spotify:track:15F7ASF4Q4JjoyxOv6irVP,https://api.spotify.com/v1/tracks/15F7ASF4Q4JjoyxOv6irVP,https://api.spotify.com/v1/audio-analysis/15F7ASF4Q4JjoyxOv6irVP,184027,4
0.397,0.0627,11,-18.12,1,0.0404,0.994,0.952,0.11,0.0729,68.589,audio_features,1vyhh6oI3yQ6r2ACsbghZG,spotify:track:1vyhh6oI3yQ6r2ACsbghZG,https://api.spotify.com/v1/tracks/1vyhh6oI3yQ6r2ACsbghZG,https://api.spotify.com/v1/audio-analysis/1vyhh6oI3yQ6r2ACsbghZG,72027,5
0.468,0.637,10,-7.618,0,0.216,0.862,0.0,0.384,0.123,87.998,audio_features,4a0OYMqeBOGuzCPLg5SfWU,spotify:track:4a0OYMqeBOGuzCPLg5SfWU,https://api.spotify.com/v1/tracks/4a0OYMqeBOGuzCPLg5SfWU,https://api.spotify.com/v1/audio-analysis/4a0OYMqeBOGuzCPLg5SfWU,230187,4
0.572,0.462,5,-5.981,1,0.0416,0.437,0.0,0.0899,0.323,168.099,audio_features,2L0aGLXwCXjxeMhQ4q6oYp,spotify:track:2L0aGLXwCXjxeMhQ4q6oYp,https://api.spotify.com/v1/tracks/2L0aGLXwCXjxeMhQ4q6oYp,https://api.spotify.com/v1/audio-analysis/2L0aGLXwCXjxeMhQ4q6oYp,237981,3
0.565,0.585,6,-5.404,1,0.061,0.624,0.0,0.125,0.571,87.093,audio_features,2qrDQX9IvOhetvjUcwPtmb,spotify:track:2qrDQX9IvOhetvjUcwPtmb,https://api.spotify.com/v1/tracks/2qrDQX9IvOhetvjUcwPtmb,https://api.spotify.com/v1/audio-analysis/2qrDQX9IvOhetvjUcwPtmb,245413,4
0.786,0.606,9,-6.354,0,0.16,0.224,0.0,0.0822,0.466,130.084,audio_features,0OWBz5FCeATA2zhHgAk7Uh,spotify:track:0OWBz5FCeATA2zhHgAk7Uh,https://api.spotify.com/v1/tracks/0OWBz5FCeATA2zhHgAk7Uh,https://api.spotify.com/v1/audio-analysis/0OWBz5FCeATA2zhHgAk7Uh,230067,4
0.68,0.408,3,-10.513,0,0.0399,0.555,1.14e-06,0.0754,0.662,94.866,audio_features,0ORoBq47N6JHgFXq52UAtM,spotify:track:0ORoBq47N6JHgFXq52UAtM,https://api.spotify.com/v1/tracks/0ORoBq47N6JHgFXq52UAtM,https://api.spotify.com/v1/audio-analysis/0ORoBq47N6JHgFXq52UAtM,234760,4
0.823,0.754,7,-5.013,1,0.217,0.144,0.0,0.0784,0.693,97.973,audio_features,4DzJl3Pi6H7oOyinUwWDfr,spotify:track:4DzJl3Pi6H7oOyinUwWDfr,https://api.spotify.com/v1/tracks/4DzJl3Pi6H7oOyinUwWDfr,https://api.spotify.com/v1/audio-analysis/4DzJl3Pi6H7oOyinUwWDfr,277061,4
0.5,0.641,0,-5.596,0,0.153,0.678,3.11e-06,0.119,0.433,135.031,audio_features,2rbSrdUEvZvD18pSyqPZVZ,spotify:track:2rbSrdUEvZvD18pSyqPZVZ,https://api.spotify.com/v1/tracks/2rbSrdUEvZvD18pSyqPZVZ,https://api.spotify.com/v1/audio-analysis/2rbSrdUEvZvD18pSyqPZVZ,267716,4
0.637,0.545,0,-7.517,0,0.0438,0.0443,0.0,0.213,0.248,120.031,audio_features,6cZwhT1ev2tUpPuRZJH8Q7,spotify:track:6cZwhT1ev2tUpPuRZJH8Q7,https://api.spotify.com/v1/tracks/6cZwhT1ev2tUpPuRZJH8Q7,https://api.spotify.com/v1/audio-analysis/6cZwhT1ev2tUpPuRZJH8Q7,302747,4
0.729,0.864,6,-4.957,1,0.104,0.561,0.0,0.0456,0.761,92.982,audio_features,1hV2SwB1pcFXZgYG9Sq2J7,spotify:track:1hV2SwB1pcFXZgYG9Sq2J7,https://api.spotify.com/v1/tracks/1hV2SwB1pcFXZgYG9Sq2J7,https://api.spotify.com/v1/audio-analysis/1hV2SwB1pcFXZgYG9Sq2J7,236269,4
0.697,0.472,8,-11.975,1,0.538,0.566,0.00206,0.0981,0.59,110.521,audio_features,1SHS0lUM3IGOr9cPEBXr1D,spotify:track:1SHS0lUM3IGOr9cPEBXr1D,https://api.spotify.com/v1/tracks/1SHS0lUM3IGOr9cPEBXr1D,https://api.spotify.com/v1/audio-analysis/1SHS0lUM3IGOr9cPEBXr1D,105861,5
0.609,0.949,0,-4.172,1,0.0425,0.000195,3.07e-06,0.0988,0.662,142.001,audio_features,3e2kqInZoOnSO4etdaELbS,spotify:track:3e2kqInZoOnSO4etdaELbS,https://api.spotify.com/v1/tracks/3e2kqInZoOnSO4etdaELbS,https://api.spotify.com/v1/audio-analysis/3e2kqInZoOnSO4etdaELbS,244655,4
0.46,0.615,5,-3.472,0,0.0331,0.0633,0.0,0.109,0.414,167.927,audio_features,3Pqp7yCHo6hbxMS0ZGc93N,spotify:track:3Pqp7yCHo6hbxMS0ZGc93N,https://api.spotify.com/v1/tracks/3Pqp7yCHo6hbxMS0ZGc93N,https://api.spotify.com/v1/audio-analysis/3Pqp7yCHo6hbxMS0ZGc93N,283160,4
0.617,0.945,8,-2.599,1,0.0567,0.133,0.0,0.217,0.581,139.945,audio_features,2FzOsU8Zt44X8UqUcUNfTr,spotify:track:2FzOsU8Zt44X8UqUcUNfTr,https://api.spotify.com/v1/tracks/2FzOsU8Zt44X8UqUcUNfTr,https://api.spotify.com/v1/audio-analysis/2FzOsU8Zt44X8UqUcUNfTr,230400,4
0.829,0.464,6,-8.46,0,0.0528,0.39,0.842,0.11,0.764,124.005,audio_features,2yQweA8nCYuzFj15LiOb41,spotify:track:2yQweA8nCYuzFj15LiOb41,https://api.spotify.com/v1/tracks/2yQweA8nCYuzFj15LiOb41,https://api.spotify.com/v1/audio-analysis/2yQweA8nCYuzFj15LiOb41,172129,4
